Recency,Frequency,Monetary,Cluster,Segment
326,2,0.0,1,Regular
2,7,4310.0,3,At Risk
75,4,1797.24,3,At Risk
19,1,1757.55,3,At Risk
310,1,334.4,1,Regular
36,11,1545.41,3,At Risk
204,1,89.0,1,Regular
232,1,1079.4,1,Regular
214,1,459.4,1,Regular
23,3,2811.43,3,At Risk
33,1,6207.67,3,At Risk
2,2,1168.06,3,At Risk
8,6,6245.53,3,At Risk
52,3,2662.06,3,At Risk
287,1,189.9,1,Regular
3,13,5154.58,3,At Risk
110,2,552.0,3,At Risk
8,4,1313.1,3,At Risk
291,3,320.69,1,Regular
4,1,168.9,3,At Risk
51,4,3545.69,3,At Risk
45,2,1887.96,3,At Risk
72,3,1298.04,3,At Risk
311,1,364.6,1,Regular
25,1,742.9300000000001,3,At Risk
3,3,455.42,3,At Risk
315,2,1628.12,1,Regular
130,1,4008.62,3,At Risk
82,3,850.29,3,At Risk
22,5,2720.56,3,At Risk
5,6,1803.96,3,At Risk
185,6,1839.31,1,Regular
29,3,566.16,3,At Risk
338,2,401.9,1,Regular
16,6,2780.66,3,At Risk
80,1,549.84,3,At Risk
22,1,460.89,3,At Risk
72,4,1582.6000000000001,3,At Risk
64,2,1272.48,3,At Risk
16,15,2998.28,3,At Risk
36,2,2409.9,3,At Risk
46,1,1635.6599999999999,3,At Risk
119,4,1108.65,3,At Risk
303,1,84.3,1,Regular
323,1,225.6,1,Regular
50,2,409.7,3,At Risk
149,1,1710.39,1,Regular
22,3,3280.75,3,At Risk
50,5,1708.1200000000001,3,At Risk
33,9,2842.57,3,At Risk
79,7,11056.93,3,At Risk
301,3,681.0799999999999,1,Regular
75,3,1226.88,3,At Risk
67,5,694.15,3,At Risk
217,3,562.41,1,Regular
24,26,123725.45,2,Occasional
3,12,3578.8,3,At Risk
113,1,668.58,3,At Risk
64,1,600.39,3,At Risk
16,5,806.27,3,At Risk
96,3,803.5600000000001,3,At Risk
1,9,1849.11,3,At Risk
163,2,1760.96,1,Regular
78,1,777.2,3,At Risk
195,1,582.73,1,Regular
12,5,708.37,3,At Risk
26,12,7877.2,3,At Risk
9,4,3750.4,3,At Risk
43,1,256.4,3,At Risk
36,18,6416.39,0,High Value
43,5,5059.32,3,At Risk
1,7,13375.87,3,At Risk
85,4,765.19,3,At Risk
80,2,7829.89,3,At Risk
100,1,509.01,3,At Risk
2,19,4896.66,0,High Value
14,2,2906.85,3,At Risk
367,1,173.55,1,Regular
3,1,172.06,3,At Risk
21,5,5005.46,3,At Risk
22,1,133.4,3,At Risk
58,1,1002.3100000000001,3,At Risk
243,1,476.49,1,Regular
44,1,449.45,3,At Risk
22,4,4067.29,3,At Risk
156,2,197.88,1,Regular
11,6,8933.52,3,At Risk
17,3,428.57,3,At Risk
134,1,707.09,3,At Risk
